i:46, j:1, l1:9282215118325467039, l2:771945124625, l3:2
i:46, j:2, l1:3070043145809844852, l2:843357389569, l3:1
i:46, j:3, l1:5356375917445024282, l2:981520519425, l3:1
i:46, j:4, l1:0, l2:0, l3:255
i:46, j:5, l1:0, l2:0, l3:255
i:46, j:6, l1:0, l2:0, l3:255
i:46, j:7, l1:0, l2:0, l3:255
i:46, j:8, l1:0, l2:0, l3:255
i:46, j:9, l1:0, l2:0, l3:255
i:47, j:0, l1:0, l2:0, l3:255
i:47, j:1, l1:0, l2:0, l3:255
i:47, j:2, l1:0, l2:0, l3:255
i:47, j:3, l1:0, l2:0, l3:255
i:47, j:4, l1:0, l2:0, l3:255
i:47, j:5, l1:0, l2:0, l3:255
i:47, j:6, l1:0, l2:0, l3:255
i:47, j:7, l1:0, l2:0, l3:255
i:47, j:8, l1:0, l2:0, l3:255
i:47, j:9, l1:0, l2:0, l3:255
i:48, j:0, l1:1651749199336664860, l2:819194661649, l3:1
i:48, j:1, l1:1633791147947895174, l2:563271564817, l3:0
i:48, j:2, l1:0, l2:0, l3:255
i:48, j:3, l1:0, l2:0, l3:255
i:48, j:4, l1:0, l2:0, l3:255
i:48, j:5, l1:0, l2:0, l3:255
i:48, j:6, l1:0, l2:0, l3:255
i:48, j:7, l1:0, l2:0, l3:255
i:48, j:8, l1:0, l2:0, l3:255
i:48, j:9, l1:0, l2:0, l3:255
i:49, j:0, l1:0, l2:0, l3:255
i:49, j:1, l1:0, l2:0, l3:255
i:49, j:2, l1:0, l2:0, l3:255
i:49, j:3, l1:0, l2:0, l3:255
i:49, j:4, l1:0, l2:0, l3:255
i:49, j:5, l1:0, l2:0, l3:255
i:49, j:6, l1:0, l2:0, l3:255
i:49, j:7, l1:0, l2:0, l3:255
i:49, j:8, l1:0, l2:0, l3:255
i:49, j:9, l1:0, l2:0, l3:255
i:50, j:0, l1:1293545998945246623, l2:681073469702, l3:0
i:50, j:1, l1:0, l2:0, l3:255
i:50, j:2, l1:0, l2:0, l3:255
i:50, j:3, l1:0, l2:0, l3:255
i:50, j:4, l1:0, l2:0, l3:255
i:50, j:5, l1:0, l2:0, l3:255
i:50, j:6, l1:0, l2:0, l3:255
i:50, j:7, l1:0, l2:0, l3:255
i:50, j:8, l1:0, l2:0, l3:255
i:50, j:9, l1:0, l2:0, l3:255
i:51, j:0, l1:0, l2:0, l3:255
i:51, j:1, l1:0, l2:0, l3:255
i:51, j:2, l1:0, l2:0, l3:255
i:51, j:3, l1:0, l2:0, l3:255
i:51, j:4, l1:0, l2:0, l3:255
i:51, j:5, l1:0, l2:0, l3:255
i:51, j:6, l1:0, l2:0, l3:255
i:51, j:7, l1:0, l2:0, l3:255
i:51, j:8, l1:0, l2:0, l3:255
i:51, j:9, l1:0, l2:0, l3:255
i:52, j:0, l1:17531844841809156048, l2:126229587729, l3:2
i:52, j:1, l1:6602865841918925330, l2:982635849734, l3:1
i:52, j:2, l1:0, l2:0, l3:255
i:52, j:3, l1:0, l2:0, l3:255
i:52, j:4, l1:0, l2:0, l3:255
i:52, j:5, l1:0, l2:0, l3:255
i:52, j:6, l1:0, l2:0, l3:255
i:52, j:7, l1:0, l2:0, l3:255
